YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2006,16700,"Charleston-North Charleston, SC",25-54,2000,207504,11943257.85,3455.9018866,0.0166546278,11943257.85,5684.9586035,2532,263880,6154561.65,2480.8389005,0.0094013904,6154561.65,4080.9799912,0.7863574352,0.0177830345
2006,16740,"Charlotte-Concord-Gastonia, NC-SC",16-19,384,42062,3412954.6,1847.4183608,0.0439213152,3412954.6,3039.0032036,969,105707,8319486.9,2884.3520763,0.0272862921,8319486.9,4744.7591655,0.3979112074,0.022528225
2006,16740,"Charlotte-Concord-Gastonia, NC-SC",20-24,672,84135,7475845.5,2734.1992429,0.0324977624,7475845.5,4497.7577546,952,119527,8322439.35,2884.8638356,0.0241356667,8322439.35,4745.6010096,0.7038995373,0.0251982615
2006,16740,"Charlotte-Concord-Gastonia, NC-SC",25-54,6375,684777,39080096.95,6251.4075975,0.0091291144,39080096.95,10283.565498,7969,858027,17062693.9,4130.7013811,0.0048141858,17062693.9,6795.0037719,0.7980832771,0.0101831868
2006,16860,"Chattanooga, TN-GA",16-19,84,8746,936276.55,967.61384343,0.1106350153,936276.55,1591.7247724,229,22755,1641461.5,1281.1953403,0.0563039042,1641461.5,2107.5663348,0.3843550868,0.0602145753
2006,16860,"Chattanooga, TN-GA",20-24,168,22555,3141171.55,1772.3350558,0.0785783665,3141171.55,2915.4911668,232,30714,3272335.35,1808.9597425,0.0588969116,3272335.35,2975.7387764,0.7343556684,0.0628366837
2006,16860,"Chattanooga, TN-GA",25-54,1442,147854,6494217.45,2548.3754531,0.0172357559,6494217.45,4192.0776204,1869,191471,6220802.5,2494.1536641,0.0130262738,6220802.5,4102.8827774,0.7722004899,0.0143370347
2006,16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19,1471,176602,23866038.25,4885.2879393,0.0276626988,23866038.25,8036.2986602,4348,526784,40793845.65,6387.0060005,0.0121245254,40793845.65,10506.624871,0.3352455655,0.0137119982
2006,16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24,3019,422380,74418858.55,8626.6365723,0.0204238756,74418858.55,14190.817161,4444,627236,70293647.15,8384.1306735,0.0133667881,70293647.15,13791.894958,0.6733988483,0.0171060361
2006,16980,"Chicago-Naperville-Elgin, IL-IN-WI",25-54,26324,3197304,136858562.5,11698.65644,0.0036589128,136858562.5,19244.289844,33751,4119503,109356634.15,10457.372239,0.0025385034,109356634.15,17202.377334,0.7761382866,0.003364331
